interview_number,interview_date,interview_time,respondent_gender,respondent_age,respondent_class,respondent_home,number_alters,alter1_gender,alter1_age,alter1_class,alter1_home,alter1_howclose,alter1_howoften,alter2_gender,alter2_age,alter2_class,alter2_home,alter2_howclose,alter2_howoften,alter3_gender,alter3_age,alter3_class,alter3_home,alter3_howclose,alter3_howoften,alter4_gender,alter4_age,alter4_class,alter4_home,alter4_howclose,alter4_howoften,alter5_gender,alter5_age,alter5_class,alter5_home,alter5_howclose,alter5_howoften
1,2022-08-30,14:54:00,Female,21,Junior,Rest of World,5,Female,20,Junior,Rest of World,Friend,More than once a week,Female,20,Junior,Rest of World,Close friend,Once a week,Male,22,Sophomore,Rest of World,Close friend,More than once a week,Male,22,Sophomore,Rest of World,Close friend,More than once a week,Female,20,Sophomore,Rest of World,Close friend,More than once a week
2,2022-08-30,15:46:00,Female,21,Senior,Bay Area,5,Male,25,Other,Bay Area,Close friend,More than once a week,Female,51,Other,Bay Area,Close friend,More than once a week,Female,22,Senior,LA Area,Close friend,More than once a week,Male,17,Other,Bay Area,Close friend,More than once a week,Female,21,Junior,Bay Area,Friend,More than once a week
1,2022-08-30,15:00:00,Other,21,Senior,LA Area,5,Female,21,Senior,Rest of United States,Close friend,More than once a week,Male,50,Other,Rest of World,Close friend,Once a week,Female,16,Other,Rest of United States,Close friend,More than once a week,Female,21,Junior,Rest of United States,Friend,Once a week,Female,21,Senior,LA Area,Close friend,More than once a week
1,2022-08-30,16:06:00,Female,20,Junior,Rest of California,3,Female,25,Other,Rest of California,Close friend,More than once a week,Female,52,Other,Rest of California,Close friend,More than once a week,Female,20,Junior,Rest of California,Friend,Once a month,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,2022-08-30,16:30:00,Male,20,Junior,Bay Area,5,Female,21,Junior,Rest of California,Close friend,More than once a week,Female,20,Junior,Bay Area,Friend,Rarely,Female,19,Junior,Rest of United States,Friend,Once a week,Female,20,Junior,Rest of United States,Friend,Once a month,Male,20,Junior,Bay Area,Acquaintance,Once a week
3,2022-08-30,16:28:00,Female,22,Senior,Bay Area,5,Female,22,Other,Bay Area,Close friend,More than once a week,Female,21,Other,LA Area,Close friend,More than once a week,Male,20,Junior,Bay Area,Close friend,More than once a week,Female,21,Senior,Bay Area,Close friend,More than once a week,Female,20,Junior,Bay Area,Close friend,More than once a week
3,2022-08-30,15:50:00,Male,31,Senior,Rest of California,5,Male,66,Other,Rest of California,Close friend,Once a week,Male,33,Other,Rest of California,Close friend,Once a week,Male,32,Other,Bay Area,Close friend,Once a month,Female,28,Other,Rest of United States,Friend,Once a month,Female,70,Other,Bay Area,Acquaintance,Once a week
1,2022-08-30,14:55:00,Male,20,Junior,Bay Area,3,Male,50,Other,Bay Area,Close friend,More than once a week,Female,50,Other,Bay Area,Close friend,More than once a week,Male,21,Senior,Bay Area,Close friend,More than once a week,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,2022-08-30,15:30:00,Female,20,Junior,Bay Area,6+,Male,21,Senior,Bay Area,Close friend,More than once a week,Female,55,Other,Rest of United States,Close friend,More than once a week,Female,20,Junior,Rest of California,Close friend,More than once a week,Female,21,Senior,Bay Area,Close friend,More than once a week,Male,55,Other,Rest of United States,Close friend,More than once a week
3,2022-08-30,15:45:00,Male,21,Senior,LA Area,2,Female,55,Other,Rest of World,Close friend,More than once a week,Male,54,Other,Rest of World,Close friend,More than once a week,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,2022-08-30,15:00:00,Male,32,Other,Rest of California,3,Female,59,Other,Rest of California,Close friend,Once a week,Male,22,Other,Rest of California,Close friend,Once a week,Female,28,Other,Rest of California,Close friend,More than once a week,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,2022-08-30,17:09:00,Male,21,Senior,Bay Area,3,Male,20,Junior,Bay Area,Close friend,More than once a week,Male,18,Sophomore,Bay Area,Close friend,More than once a week,Male,21,Senior,Rest of United States,Close friend,Once a month,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,2022-08-30,21:00:00,Female,20,Junior,Rest of United States,4,Female,46,Other,Rest of United States,Close friend,Once a week,Male,65,Other,Rest of United States,Close friend,Once a month,Female,34,Other,Rest of United States,Close friend,Once a month,Female,19,Sophomore,Rest of United States,Close friend,Once a week,NA,NA,NA,NA,NA,NA
